iter	RMSE
0	0.3412583948
1	0.3317616022
2	0.3227907592
3	0.3138949201
4	0.3051720404
5	0.2968882913
6	0.2887194582
7	0.2809426632
8	0.2733446381
9	0.2658787886
10	0.2587534266
11	0.2517969648
12	0.2449510032
13	0.2383482543
14	0.2319669287
15	0.2257232614
16	0.2197103298
17	0.2138190664
18	0.2081899749
19	0.2026994888
20	0.1974278919
21	0.1923166546
22	0.187302024
23	0.1823767098
24	0.1776905061
25	0.1730797671
26	0.1686675582
27	0.1642935461
28	0.1601310759
29	0.156001218
30	0.152160383
31	0.1482772217
32	0.1445550599
33	0.1409725375
34	0.137486661
35	0.1341053656
36	0.1308192571
37	0.1276305994
38	0.1245290335
39	0.1215304572
40	0.1186428415
41	0.1158448939
42	0.1131068259
43	0.1104240293
44	0.1077800559
45	0.1052052273
46	0.1027080099
47	0.1002975065
48	0.0979445252
49	0.09568294852
50	0.09347396319
51	0.09130388385
52	0.08920191906
53	0.08717849193
54	0.08523654708
55	0.08330831925
56	0.08145778841
57	0.07966759994
58	0.07797358687
59	0.07626692802
60	0.07463203643
61	0.07306703558
62	0.07150226526
63	0.06998905937
64	0.06856203715
65	0.06720236457
66	0.06590763254
67	0.06462360426
68	0.06331261348
69	0.06203028911
70	0.06077168259
71	0.05959177301
72	0.05842450812
73	0.05729149833
74	0.05624840963
75	0.05521987443
76	0.05417227154
77	0.0531824024
78	0.0522211392
79	0.05129036074
80	0.05038244475
81	0.04951597955
82	0.04866487069
83	0.04786358635
84	0.047094138
85	0.04632366574
86	0.04558688932
87	0.04488405418
88	0.04420694582
89	0.04355716526
90	0.04291062252
91	0.04230168839
92	0.04170859177
93	0.04116166764
94	0.0406083619
95	0.04006502858
96	0.03954293021
97	0.0390464435
98	0.03855187298
99	0.03807683877
100	0.03759430347
101	0.03713389279
102	0.03670323281
103	0.03627802829
104	0.03588547648
105	0.03548144427
106	0.03509321988
107	0.03468971575
108	0.034317266
109	0.03395895118
110	0.03360380817
111	0.03328586236
112	0.03296620033
113	0.03260166668
114	0.03225148794
115	0.03194830718
116	0.03167365102
117	0.03138359721
118	0.03110062396
119	0.03082011004
120	0.03056034923
121	0.0303038274
122	0.03005562926
123	0.02979274792
124	0.02956837567
125	0.02933130533
126	0.02909757221
127	0.02887985265
128	0.02863528976
129	0.02842612576
130	0.02822610493
131	0.02801761414
132	0.027799158
133	0.02762057273
134	0.02741309558
135	0.02720757715
136	0.02702214909
137	0.02686157575
138	0.02670018753
139	0.02650458535
140	0.02634549501
141	0.02618783605
142	0.02599929642
143	0.02581448206
144	0.02564647929
145	0.02546466448
146	0.0253291572
147	0.02518184349
148	0.02504208039
149	0.02487747016
150	0.0247180908
151	0.02458585649
152	0.02445862937
153	0.0243397412
154	0.02422144115
155	0.02410615043
156	0.023961087
157	0.02384696959
158	0.02372705641
159	0.0236094645
160	0.02350297077
161	0.02340276882
162	0.02330438918
163	0.02321200907
164	0.02311411708
165	0.02302022686
166	0.02293060557
167	0.02283165601
168	0.02274312235
169	0.02261458131
170	0.02249720323
171	0.02237585593
172	0.02229484741
173	0.02221389468
174	0.02210198198
175	0.02202894069
176	0.02195256531
177	0.02186384075
178	0.02179310847
179	0.02168611098
180	0.02162138739
181	0.0215584779
182	0.02144911156
183	0.02138237971
184	0.02130469951
185	0.02124386136
186	0.0211701207
187	0.02108995833
188	0.02101620972
189	0.02095263223
